Moerbeke-Waas|51.1667|3.93333
Moerbrugge|51.1667|3.26667
Moerzeke|51.0667|4.15
Moignel�e|50.45|4.58333
Mol|51.1833|5.1
Molenbeek-Saint-Jean (Sint-Jans-Molenbeek)/Brussel (Bruxelles)|50.85|4.31667
Monceau-sur-Sambre|50.4167|4.36667
Mons|50.45|3.93333
Monsin|50.6667|5.63333
Montignies-sur-Sambre|50.4|4.5
Mornimont|50.45|4.7
Muizen|51.0167|4.51667
Nam�che|50.4667|5
Namur|50.4667|4.86667
Neder-Over-Heembeek|50.9|4.38333
Neerharen|50.9167|5.68333
Neeroeteren|51.0833|5.7
Neerpelt|51.2167|5.41667
Neffe|50.2333|4.91667
Neuville-sous-Huy|50.5333|5.28333
Nevele|51.0333|3.55
